City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,khatanga,71.9667,102.5,-36.84,100,48,2.94,RU,1675645961
175,mazyr,52.0495,29.2456,-6.6,95,100,3.0,BY,1675646274
176,pucallpa,-8.3791,-74.5539,26.02,89,75,2.57,PE,1675646063
177,cherskiy,68.75,161.3,-38.98,99,98,2.15,RU,1675646151
178,severo-kurilsk,50.6789,156.125,-2.83,73,100,4.28,RU,1675646185
179,pizhanka,57.4604,48.542,-17.97,100,96,1.66,RU,1675646276
180,mahina,-17.5065,-149.489,28.87,70,40,4.63,PF,1675646276
181,krasnyy chikoy,50.3643,108.7512,-23.39,100,94,0.69,RU,1675646277
182,kruisfontein,-34.0033,24.7314,22.71,90,89,2.38,ZA,1675646219
183,port blair,11.6667,92.75,26.26,77,1,2.65,IN,1675645962
184,codrington,-38.2667,141.9667,18.37,60,88,3.59,AU,1675646049
185,bredasdorp,-34.5322,20.0403,20.13,90,44,4.71,ZA,1675646134
186,northam,51.0333,-4.2167,3.12,82,23,2.98,GB,1675646258
187,vao,-22.6667,167.4833,26.22,84,33,7.03,NC,1675646224
188,puerto suarez,-18.95,-57.8,25.18,67,19,1.13,BO,1675646279
189,susaki,33.3667,133.2833,8.04,41,100,0.63,JP,1675646280
190,bereda,43.2686,-7.5406,2.3,100,48,2.19,ES,1675646280
191,magadan,59.5667,150.8,-21.01,71,99,3.04,RU,1675646281
192,sembakung,3.8167,117.25,27.22,81,51,0.56,ID,1675646282
193,gatesville,31.4352,-97.7439,18.06,62,0,4.43,US,1675646284
194,tuktoyaktuk,69.4541,-133.0374,-38.39,100,55,2.74,CA,1675646142
195,linfen,36.0889,111.5189,5.27,44,100,0.34,CN,1675646286
196,nortelandia,-14.4547,-56.8028,23.29,90,95,1.11,BR,1675646288
197,siocon,7.7061,122.1353,27.55,73,74,0.85,PH,1675646290
198,klaksvik,62.2266,-6.589,9.51,90,100,14.85,FO,1675645961
199,luderitz,-26.6481,15.1594,16.48,94,92,3.02,NA,1675645976
200,ketchikan,55.3422,-131.6461,3.26,87,100,5.14,US,1675646252
201,omboue,-1.5746,9.2618,25.64,84,100,1.64,GA,1675646295
202,kumertau,52.7667,55.7833,-16.28,99,100,0.09,RU,1675646296
203,buala,-8.145,159.5921,24.94,93,100,4.83,SB,1675646297
204,quatre cocos,-20.2078,57.7625,26.16,83,100,4.34,MU,1675646297
205,olafsvik,64.8945,-23.7142,1.96,69,100,18.54,IS,1675646190
206,maniitsoq,65.4167,-52.9,-14.5,83,100,6.23,GL,1675646268
207,airai,-8.9266,125.4092,20.41,73,89,1.55,TL,1675646299
208,roma,43.2128,-75.4557,6.16,69,100,0.0,US,1675646196
209,beloha,-25.1667,45.05,21.59,92,100,4.8,MG,1675646064
210,trinidad,-14.8333,-64.9,20.15,98,99,0.5,BO,1675646302
